iter	Passed	Remaining
0	162	41329
1	177	22520
2	182	15388
3	191	12056
4	202	10160
5	221	9216
6	231	8225
7	245	7604
8	254	6984
9	268	6611
10	283	6303
11	298	6064
12	312	5837
13	326	5647
14	340	5470
15	353	5301
16	367	5162
17	372	4921
18	384	4800
19	398	4704
20	416	4664
21	430	4583
22	444	4507
23	459	4437
24	471	4358
25	486	4303
26	501	4256
27	516	4204
28	531	4156
29	547	4124
30	561	4075
31	575	4029
32	591	3993
33	606	3958
34	620	3919
35	636	3886
36	651	3855
37	666	3824
38	682	3795
39	697	3764
40	712	3736
41	727	3706
42	741	3672
43	755	3638
44	769	3606
45	783	3575
46	799	3556
47	815	3533
48	827	3495
49	841	3466
50	856	3443
51	872	3421
52	887	3397
53	902	3375
54	916	3351
55	930	3324
56	945	3300
57	958	3272
58	973	3250
59	990	3234
60	1003	3208
61	1018	3185
62	1032	3163
63	1038	3114
64	1051	3089
65	1065	3068
66	1079	3044
67	1092	3020
68	1107	3001
69	1122	2983
70	1137	2964
71	1152	2945
72	1167	2926
73	1181	2905
74	1195	2885
75	1209	2865
76	1224	2846
77	1238	2825
78	1254	2810
79	1274	2804
80	1294	2797
81	1310	2780
82	1328	2768
83	1341	2747
84	1356	2728
85	1371	2712
86	1387	2695
87	1403	2680
88	1429	2681
89	1454	2682
90	1478	2681
91	1503	2679
92	1518	2661
93	1533	2642
94	1548	2624
95	1569	2616
96	1584	2597
97	1601	2581
98	1609	2552
99	1624	2533
100	1638	2514
101	1656	2501
102	1671	2482
103	1681	2457
104	1696	2439
105	1711	2421
106	1725	2403
107	1740	2384
108	1754	2365
109	1768	2347
110	1782	2328
111	1796	2309
112	1811	2293
113	1826	2275
114	1850	2268
115	1872	2259
116	1899	2256
117	1917	2242
118	1934	2226
119	1954	2214
120	1969	2197
121	1986	2181
122	1999	2162
123	2014	2144
124	2030	2127
125	2045	2110
126	2061	2093
127	2075	2075
128	2089	2057
129	2104	2039
130	2123	2026
131	2137	2008
132	2152	1990
133	2165	1971
134	2179	1953
135	2193	1935
136	2207	1917
137	2221	1899
138	2235	1881
139	2249	1864
140	2266	1848
141	2284	1833
142	2301	1818
143	2318	1803
144	2335	1788
145	2351	1771
146	2359	1749
147	2375	1733
148	2393	1718
149	2410	1703
150	2425	1686
151	2440	1669
152	2454	1652
153	2470	1636
154	2484	1618
155	2498	1601
156	2505	1579
157	2519	1562
158	2534	1546
159	2551	1530
160	2565	1513
161	2580	1497
162	2594	1480
163	2609	1463
164	2623	1446
165	2638	1430
166	2652	1413
167	2666	1396
168	2684	1381
169	2698	1364
170	2713	1348
171	2728	1332
172	2743	1316
173	2757	1299
174	2772	1283
175	2787	1266
176	2801	1250
177	2817	1234
178	2832	1218
179	2848	1202
180	2862	1186
181	2877	1170
182	2892	1153
183	2907	1137
184	2921	1121
185	2936	1105
186	2952	1089
187	2969	1073
188	2985	1058
189	3002	1043
190	3021	1028
191	3036	1012
192	3051	996
193	3066	980
194	3081	964
195	3098	948
196	3114	932
197	3129	916
198	3144	900
199	3159	884
200	3174	868
201	3190	852
202	3208	837
203	3224	821
204	3239	805
205	3256	790
206	3270	774
207	3286	758
208	3301	742
209	3315	726
210	3330	710
211	3347	694
212	3363	679
213	3378	662
214	3396	647
215	3411	631
216	3425	615
217	3440	599
218	3454	583
219	3468	567
220	3482	551
221	3497	535
222	3512	519
223	3527	503
224	3544	488
225	3558	472
226	3573	456
227	3587	440
228	3605	425
229	3621	409
230	3637	393
231	3656	378
232	3672	362
233	3687	346
234	3702	330
235	3717	315
236	3733	299
237	3749	283
238	3763	267
239	3779	251
240	3794	236
241	3813	220
242	3828	204
243	3843	189
244	3857	173
245	3872	157
246	3888	141
247	3905	125
248	3919	110
249	3934	94
250	3953	78
251	3988	63
252	4005	47
253	4020	31
254	4037	15
255	4052	0
